STATE,CITY,DAY,MONTH,HARM_EV,MAN_COLL,TYP_INT,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS,DRUNK_DR
1,350,7,6,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,7,6,42,0,1,0,1,1,0,1,0,0,0,1,0
1,3270,7,6,12,2,1,1,1,1,0,1,0,0,0,1,0
1,0,9,6,12,6,2,0,1,2,0,2,0,0,0,1,0
1,0,9,6,8,0,3,0,3,10,0,10,0,0,0,1,0
1,0,9,6,12,1,1,0,2,1,0,1,0,0,0,1,2
1,0,9,6,12,2,1,0,2,1,0,1,0,0,0,1,0
1,0,10,6,34,0,1,0,2,1,0,1,14,0,0,1,1
1,0,11,6,12,6,2,0,4,1,0,1,0,0,0,1,0
1,2550,11,6,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,11,6,9,0,1,0,1,10,0,10,0,0,0,1,0
1,0,11,6,12,2,1,0,2,1,0,1,0,0,0,2,1
1,0,11,6,42,0,1,0,2,10,0,10,0,0,0,1,1
1,2910,12,6,12,6,1,0,1,1,0,1,0,0,0,1,0
1,0,12,6,42,0,1,0,1,2,0,2,0,0,0,1,0
1,0,13,6,12,2,1,0,5,1,0,1,0,0,0,1,1
1,0,14,6,42,0,1,0,2,1,0,1,0,0,0,1,0
1,0,15,6,42,0,1,0,1,1,0,1,0,0,0,1,1
1,2010,11,6,12,2,1,0,1,10,0,10,0,0,0,1,0
1,0,15,6,8,0,3,0,2,1,0,1,0,0,0,1,0
1,0,16,6,42,0,1,0,1,1,0,1,0,0,0,1,0
1,0,17,6,38,0,1,0,2,1,0,1,0,0,0,1,1
1,2100,17,6,12,6,3,0,2,10,0,10,0,0,0,1,2
1,0,21,6,34,0,1,0,4,1,0,1,0,0,0,1,1
1,0,21,6,12,6,3,0,1,1,0,1,0,0,0,1,0
1,0,13,3,34,0,1,0,4,1,0,1,0,0,0,1,0
1,0,23,4,12,6,1,1,2,1,0,1,19,0,0,2,1
1,0,6,4,12,1,1,0,1,2,0,2,0,0,0,1,0
1,0,30,4,53,0,1,0,5,1,0,1,0,0,0,1,1
1,890,20,4,18,0,1,0,1,1,0,1,0,0,0,1,0
1,0,7,4,12,2,1,0,2,10,0,10,0,0,0,1,1
1,0,4,3,34,0,1,0,2,1,0,1,0,0,0,1,0
1,0,4,3,42,0,1,0,2,1,0,1,0,0,0,1,1
1,0,13,3,33,0,1,0,1,1,0,1,0,0,0,1,0
1,0,14,3,11,0,1,0,3,1,0,1,0,0,0,1,0
1,2465,6,3,12,6,1,0,1,2,0,2,0,0,0,1,0
1,0,20,3,34,0,1,0,1,1,0,1,0,0,0,1,0
